UGT,UGA,UGE,UARP,AGT,AGA,AGE,AARP,RANDOM
287.713712931,171.395787001,0.833582997322,2.00232100487,0.949913024902,0.253507018089,1.27130293846,0.43992805481,7.451616714
4.28567790985,53.8394290209,4.03028893471,1.68063998222,0.949913024902,0.253507018089,1.3290899992,0.295382976532,2.1652373743
4.28567790985,53.8394290209,1.88660991192,3.29786300659,0.949913024902,0.253507018089,0.852658033371,0.338292002678,1.63546570539
4.28567790985,53.8394290209,0.220767021179,0.926090955734,0.949913024902,0.253507018089,1.44060099125,0.949403047562,2.26008000135
4.28567790985,53.8394290209,0.261021018028,0.28862798214,0.949913024902,0.253507018089,0.816176056862,0.377732038498,1.78707382679
4.28567790985,53.8394290209,0.28862798214,0.960965037346,0.949913024902,0.253507018089,1.01858603954,0.253507018089,1.23203309774
4.28567790985,53.8394290209,1.64620494843,0.394116044044,0.949913024902,0.253507018089,1.62798309326,0.764454960823,1.22810266256
4.28567790985,53.8394290209,0.457828044891,2.10883510113,0.949913024902,0.253507018089,0.456405997276,0.852658033371,1.3766532135
4.28567790985,53.8394290209,1.2103729248,0.519694089889,0.949913024902,0.253507018089,0.463364005089,0.448323965073,1.13803071976
4.28567790985,3.1729940176,0.802837014198,0.907970070839,0.949913024902,0.220767021179,0.604765057564,0.377732038498,1.0106186676
4.28567790985,3.1729940176,0.772670030594,0.220767021179,0.949913024902,0.220767021179,0.253507018089,0.64185500145,0.963663101196
4.28567790985,3.1729940176,1.64075398445,0.708441972733,0.949913024902,0.220767021179,1.39877700806,0.437523961067,1.02628950834
4.28567790985,3.1729940176,0.43992805481,0.938814997673,0.949913024902,0.220767021179,0.43992805481,0.282848954201,0.792795703411
0.398602,0.398602,0.387032,0.163045,0.133722,0.133722,0.133722,0.103687,0.28856558
0.398602,0.398602,0.395666,0.658521,0.133722,0.133722,0.15543,0.103687,0.26375354
0.398602,0.398602,0.223792,0.895218,0.133722,0.133722,0.121415,0.103687,0.30105606
0.398602,0.398602,0.208753,0.109469,0.133722,0.133722,0.558685,0.107418,0.27487334
0.345107,0.398602,0.289024,0.121415,0.133722,0.133722,0.159917,0.103687,0.18982372
0.345107,0.398602,0.155141,0.221933,0.133722,0.133722,0.158559,0.113536,0.19669658
0.345107,0.398602,0.180073,0.109469,0.133722,0.133722,0.183424,0.148909,0.19253124
0.345107,0.398602,0.159917,0.157382,0.133722,0.133722,0.167306,0.109469,0.19331706
0.345107,0.398602,0.109469,0.109469,0.133722,0.133722,0.155141,0.113536,0.18681
0.345107,0.398602,0.310245,0.113536,0.133722,0.133722,0.256401,0.113536,0.17657204
0.345107,0.398602,0.208855,0.113536,0.133722,0.133722,0.155141,0.107418,0.17477302
0.345107,0.398602,0.164388,0.113536,0.133722,0.133722,0.180073,0.107418,0.1763023
0.345107,0.398602,0.155141,0.148909,0.133722,0.133722,0.158559,0.107418,0.17405742
0.345107,0.398602,0.204244,0.107418,0.133722,0.133722,0.148909,0.107418,0.15323488
0.345107,0.398602,0.162012,0.159917,0.133722,0.133722,0.121415,0.107418,0.1686643
0.345107,0.398602,0.109469,0.103687,0.133722,0.133722,0.133722,0.103687,0.16833118
4.4,4.5,2.3,2.2,2.3,2.1,2.7,2.0,2.48
4.4,4.5,2.1,2.2,2.3,2.1,2.3,1.3,2.528
