UGE,AGE,UGEm,AGEm
1.0043815,1.0043815,27.1368119,17.1375821
17.3165573,5.8013112,40.7210673,17.4258736
11.8285302,0.8950718,7.6654736,12.8714185
7.6654736,1.0043815,17.3165573,17.3165573
19.4170449,0.8950718,7.6654736,7.6654736
11.8285302,5.8013112,9.7970439,19.4170449
9.7970439,0.8950718,17.4258736,7.6654736
12.5969344,23.917388,34.5416792,1.0043815
16.1670435,1.3992799,16.1670435,17.1375821
55.1945993,0.8950718,40.412737,0.8950718
11.8,11.4,11.4,11.4
12.8,11.7,11.8,11.7
11.5,11.3,11.2,11.7
11.2,11.2,11.8,11.6
11.3,11.3,11.2,11.6
11.3,11.6,11.2,11.6
11.8,11.6,11.2,11.5
11.5,11.1,11.6,11.3
11.2,11.4,11.4,11.0
11.4,11.3,11.1,11.1
11.6,11.4,11.6,11.5
11.3,11.4,11.2,11.4
11.3,11.3,11.2,11.4
11.3,11.3,11.7,11.2
11.5,11.1,11.2,11.5
11.4,11.2,11.0,11.2
14.5,14.6,15.7,16.8
16.2,17.7,14.4,17.2
15.0,18.2,15.0,15.2
15.2,14.8,15.8,16.6
15.3,14.8,14.8,14.5
14.7,14.0,14.9,14.7
14.9,15.0,15.3,14.2
15.7,14.8,15.2,15.2
14.3,14.0,14.1,14.9
15.0,15.4,14.4,15.1
15.2,14.5,15.5,15.1
14.6,15.1,14.0,16.8
14.6,14.0,15.1,14.9
15.9,14.6,14.3,15.3
14.7,16.0,14.6,14.9
14.6,14.3,14.5,15.8
0.109,0.01,0.109,0.01
0.109,0.01,0.109,0.109
0.01,0.01,0.01,0.01
0.307,0.01,0.109,0.109
0.109,0.01,0.109,0.109
0.01,0.01,0.109,0.01
0.01,0.01,0.109,0.01
0.109,0.01,0.109,0.01
0.01,0.01,0.01,0.01
0.01,0.01,0.109,0.01
0.109,0.01,0.01,0.01
0.01,0.01,0.01,0.01
0.01,0.01,0.01,0.01
0.109,0.01,0.01,0.01
0.109,0.01,0.01,0.01
0.109,0.01,0.01,0.01
0.109,0.01,0.01,0.01
0.01,0.01,0.208,0.208
0.01,0.109,0.01,0.01
0.208,0.109,0.208,0.01
0.01,0.01,0.307,0.01
0.109,0.01,0.109,0.109
0.01,0.01,0.01,0.01
0.109,0.01,0.01,0.01
0.01,0.01,0.01,0.01
0.01,0.01,0.01,0.01
0.01,0.109,0.109,0.109
0.109,0.01,0.01,0.109
0.109,0.01,0.109,0.01
0.109,0.01,0.208,0.01
0.01,0.01,0.01,0.01
0.01,0.01,0.01,0.01
0.109,0.109,0.01,0.109
0.307,0.109,0.109,0.01
17.002,0.505,0.01,0.01
0.406,0.208,0.911,0.109
0.109,0.109,0.01,0.109
0.109,0.01,0.01,0.109
0.01,0.01,0.109,0.406
0.406,0.307,0.109,0.317
0.109,0.01,0.01,0.01
0.109,0.307,0.109,0.109
0.01,0.01,0.01,0.01
0.109,0.01,0.01,0.01
0.01,0.109,0.109,0.01
0.01,0.01,0.01,0.01
0.01,0.01,0.208,0.01
0.01,0.01,0.109,0.01
4.805,0.307,0.416,0.916
0.218,0.01,0.219,0.208
8.3,0.317,0.604,0.604
0.416,1.01,5.0,0.515
0.208,0.218,0.01,0.307
0.109,0.01,0.109,0.604
0.317,0.01,0.109,0.01
0.109,0.109,0.109,0.01
0.02,0.218,0.119,0.307
2.0,0.01,0.01,0.01
0.208,0.416,0.317,0.01
0.01,0.109,0.01,0.208
0.01,0.01,0.109,0.109
0.208,0.109,0.01,0.218
0.317,0.109,0.218,0.01
0.01,0.218,0.01,0.01
0.208,0.01,0.208,0.109
0.109,0.01,0.01,0.109
0.208,0.01,0.208,0.01
0.208,0.01,0.109,0.01
0.109,0.01,0.01,0.01
0.01,0.01,0.01,0.01
0.01,0.109,0.109,0.01
0.109,0.01,0.01,0.01
0.01,0.01,0.01,0.01
0.01,0.01,0.01,0.01
0.01,0.01,0.01,0.01
0.01,0.01,0.01,0.01
0.01,0.01,0.01,0.01
0.109,0.01,0.109,0.01
0.01,0.01,0.01,0.01
0.01,0.01,0.01,0.01
0.703,0.109,2.8,1.7
2.4,0.109,0.604,1.201
0.604,1.101,0.01,0.802
0.604,0.307,25.7,0.01
0.208,0.604,0.209,0.109
0.109,0.208,0.109,0.406
0.208,0.01,0.208,0.208
0.01,0.01,0.604,0.01
0.109,0.307,0.01,0.01
0.208,0.208,0.208,0.208
0.01,0.208,0.209,0.109
0.109,0.505,0.01,0.109
0.901,0.209,0.109,0.307
0.307,0.01,0.01,0.208
0.01,0.307,1.3,0.208
0.109,0.208,1.1,0.01
0.406,0.208,0.208,0.208
0.406,0.208,0.208,0.208
0.406,0.208,0.802,0.208
0.604,0.208,0.406,0.208
0.604,0.109,0.208,0.208
0.208,0.208,0.208,0.109
0.406,0.208,0.604,0.208
0.208,0.109,0.604,0.109
0.208,0.109,0.208,0.109
0.208,0.109,0.208,0.109
0.208,0.208,0.208,0.109
0.208,0.208,0.208,0.208
0.208,0.109,0.208,0.109
0.208,0.109,0.208,0.109
0.208,0.109,0.109,0.109
0.208,0.109,0.208,0.109
0.803,0.406,1.3,0.406
0.907,1.001,1.3,0.208
0.703,0.703,1.0,0.406
1.001,1.0,1.109,0.505
0.703,0.406,0.406,0.505
0.703,0.406,0.208,0.406
1.3,0.713,1.001,0.406
0.604,0.208,0.705,0.208
0.604,0.505,0.505,0.208
0.802,0.505,0.803,0.406
0.703,0.208,0.802,0.208
0.505,0.208,0.703,0.208
0.406,0.406,0.505,0.406
0.802,0.208,0.406,0.208
0.803,0.208,0.406,0.208
0.703,0.208,0.406,0.208
4.1,0.208,0.109,0.406
0.703,0.109,0.604,0.406
2.3,0.109,0.307,0.307
1.3,0.208,0.109,0.307
0.307,0.109,0.307,0.307
0.307,0.109,1.1,0.307
0.604,0.406,0.604,0.109
1.3,0.208,1.001,0.307
0.604,0.208,0.505,0.307
0.109,0.307,0.406,0.109
0.604,0.109,0.109,0.307
0.307,0.109,0.109,0.307
0.604,0.109,0.506,0.109
0.406,0.109,0.109,0.109
0.307,0.307,0.307,0.109
0.505,0.307,0.109,0.109
0.01,0.01,0.307,0.01
0.109,0.208,0.505,0.307
0.406,0.01,0.703,0.01
0.505,0.01,0.705,0.109
0.109,0.01,0.307,0.01
0.307,0.01,0.01,0.01
0.307,0.01,0.01,0.01
0.109,0.01,0.109,0.01
0.01,0.01,0.109,0.01
0.01,0.01,0.01,0.01
0.01,0.01,0.01,0.01
0.109,0.01,0.01,0.01
0.01,0.01,0.01,0.01
0.01,0.01,0.01,0.01
0.01,0.01,0.109,0.01
0.01,0.01,0.01,0.01
0.208,0.01,0.01,0.01
0.109,0.01,0.109,0.109
0.307,0.01,0.703,0.109
0.406,0.307,0.208,0.109
0.109,0.01,0.109,0.01
0.01,0.01,0.01,0.109
0.01,0.01,0.109,0.109
0.109,0.01,0.01,0.109
0.01,0.01,0.109,0.01
0.109,0.01,0.109,0.01
0.01,0.109,0.01,0.109
0.208,0.01,0.109,0.01
0.109,0.01,0.01,0.01
0.01,0.01,0.109,0.01
0.208,0.01,0.109,0.109
0.01,0.01,0.01,0.01
0.802,0.903,1.401,0.902
1.1,0.902,0.902,0.703
0.902,1.1,0.505,0.802
1.2,0.307,1.1,0.109
0.703,0.802,0.802,0.802
0.802,0.109,0.109,0.505
0.307,0.505,0.703,0.902
0.109,0.505,0.802,0.505
0.703,0.307,0.505,0.703
0.802,0.703,0.903,0.505
0.902,0.505,0.109,0.703
0.802,0.505,0.109,0.703
0.505,0.505,0.109,0.109
0.505,0.109,0.109,0.109
0.505,0.109,0.109,0.307
0.109,0.307,0.307,0.109
0.307,0.109,0.109,0.307
0.307,0.208,0.208,0.208
0.208,0.01,0.406,0.208
0.208,0.208,0.01,0.01
